diagnostic,byproblem,bypair,bysubm,inACtrans
cert-env33-c,48,863,1901,0
concurrency-mt-unsafe,48,863,1901,0
cppcoreguidelines-init-variables,48,867,1843,6
performance-avoid-endl,48,263,564,18
misc-const-correctness,48,919,1988,1
altera-unroll-loops,48,938,2023,0
llvmlibc-callee-namespace,48,938,2023,0
llvm-else-after-return,28,156,317,10
google-readability-braces-around-statements,48,904,1911,5
misc-no-recursion,25,196,407,11
cppcoreguidelines-pro-type-member-init,29,134,277,7
google-build-using-namespace,48,937,2020,0
fuchsia-default-arguments-calls,48,924,1987,0
altera-struct-pack-align,29,318,780,4
llvmlibc-restrict-system-libc-headers,48,938,2023,0
modernize-use-trailing-return-type,48,938,2024,0
llvmlibc-implementation-in-namespace,48,938,2024,0
llvm-qualified-auto,48,866,1907,0
misc-include-cleaner,48,938,2023,0
readability-identifier-length,48,931,2010,0
llvm-include-order,48,935,2019,1
readability-isolate-declaration,47,821,1755,4
bugprone-exception-escape,26,322,702,7
clang-analyzer-cplusplus.NewDelete,2,13,27,0
readability-static-accessed-through-instance,3,7,10,0
clang-diagnostic-missing-declarations,6,8,22,0
readability-simplify-boolean-expr,15,40,62,4
bugprone-easily-swappable-parameters,34,172,285,3
performance-unnecessary-value-param,21,56,78,2
cppcoreguidelines-avoid-magic-numbers,19,59,118,0
clang-diagnostic-parentheses-equality,1,2,5,2
google-runtime-int,24,87,218,3
readability-implicit-bool-conversion,19,69,156,8
modernize-use-using,12,26,67,2
readability-misleading-indentation,13,16,33,1
clang-diagnostic-error,18,57,91,1
misc-non-private-member-variables-in-classes,15,52,107,2
modernize-return-braced-init-list,4,9,25,3
hicpp-braces-around-statements,45,839,1774,4
cppcoreguidelines-avoid-non-const-global-variables,5,7,10,0
clang-analyzer-deadcode.DeadStores,15,32,57,3
google-explicit-constructor,15,118,204,7
cert-dcl21-cpp,2,3,6,0
modernize-pass-by-value,9,16,24,1
modernize-use-nodiscard,21,159,314,5
altera-id-dependent-backward-branch,47,436,891,9
fuchsia-overloaded-operator,24,213,537,2
readability-duplicate-include,9,9,16,0
readability-function-cognitive-complexity,9,16,52,4
modernize-use-transparent-functors,15,76,123,4
bugprone-branch-clone,12,25,56,3
hicpp-use-emplace,16,32,49,2
modernize-loop-convert,25,94,184,4
clang-diagnostic-c++11-narrowing,3,4,6,0
bugprone-narrowing-conversions,38,241,481,7
clang-diagnostic-logical-not-parentheses,1,1,1,1
clang-diagnostic-empty-body,20,27,62,3
bugprone-suspicious-semicolon,11,16,38,1
modernize-use-bool-literals,3,3,5,0
clang-diagnostic-dangling-else,3,5,10,0
bugprone-integer-division,1,11,21,6
google-readability-casting,5,23,61,0
clang-diagnostic-return-type,8,41,60,1
clang-diagnostic-unused-value,3,3,3,1
readability-container-size-empty,8,27,41,0
cppcoreguidelines-use-default-member-init,17,148,255,2
clang-diagnostic-tautological-compare,1,3,14,0
misc-redundant-expression,1,3,14,0
clang-diagnostic-braced-scalar-init,1,1,1,0
performance-inefficient-vector-operation,1,1,1,0
misc-unused-parameters,16,20,30,2
cppcoreguidelines-avoid-c-arrays,6,7,15,1
cppcoreguidelines-pro-bounds-constant-array-index,6,6,10,1
fuchsia-default-arguments-declarations,2,2,3,0
readability-make-member-function-const,14,85,134,5
cppcoreguidelines-avoid-const-or-ref-data-members,11,70,111,3
cppcoreguidelines-prefer-member-initializer,8,30,44,5
fuchsia-statically-constructed-objects,3,15,34,0
cert-err58-cpp,3,15,34,0
cppcoreguidelines-non-private-member-variables-in-classes,10,34,48,1
clang-diagnostic-uninitialized,2,2,2,1
readability-use-anyofallof,1,1,4,0
bugprone-reserved-identifier,6,64,128,2
clang-analyzer-optin.cplusplus.UninitializedObject,1,1,1,1
hicpp-multiway-paths-covered,1,28,32,0
bugprone-switch-missing-default-case,1,28,32,0
modernize-macro-to-enum,11,11,21,1
cppcoreguidelines-macro-usage,11,17,36,1
readability-else-after-return,1,1,1,0
clang-diagnostic-constant-conversion,2,2,4,0
bugprone-implicit-widening-of-multiplication-result,2,4,5,0
clang-diagnostic-unused-result,2,2,2,0
bugprone-unused-raii,1,2,8,0
readability-convert-member-functions-to-static,2,2,7,1
bugprone-infinite-loop,2,2,2,1
performance-for-range-copy,11,64,117,3
readability-redundant-member-init,1,1,1,0
hicpp-use-auto,1,1,3,0
clang-diagnostic-vexing-parse,1,1,1,0
clang-diagnostic-extra-tokens,7,8,11,1
hicpp-deprecated-headers,1,1,3,0
performance-unnecessary-copy-initialization,1,1,4,0
readability-suspicious-call-argument,1,1,3,0
clang-diagnostic-unsequenced,1,1,1,0
readability-redundant-string-init,1,2,7,0
performance-inefficient-string-concatenation,1,2,7,0
readability-qualified-auto,1,1,1,1
clang-diagnostic-pragma-once-outside-header,1,1,1,0
cppcoreguidelines-pro-bounds-pointer-arithmetic,1,1,1,1
clang-diagnostic-string-plus-int,1,1,1,1
empty,0,0,0,376
